WEO Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After,Subject Descriptor
512,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,Output gap in percent of potential GDP
914,5.765,6.671,7.288,7.657,8.092,8.223,8.858,9.004,9.191,10.488,9.792,7.289,6.918,7.762,8.673,9.643,10.713,9.707,10.683,12.235,13.377,14.804,15.721,16.898,18.31,19.923,21.738,23.658,25.927,27.0,28.328,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.08,41.709,39.113,42.413,45.679,48.512,51.149,53.939,2018.0,"Gross domestic product, current prices"
914,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100.0,101.282,103.295,105.39,106.878,108.38,110.195,112.785,115.807,119.2,122.776,2019.0,"Inflation, average consumer prices"
612,2596.368,2674.259,2845.412,2999.064,3167.012,3344.364,3337.676,3314.312,3251.34,3407.404,3434.663,3393.448,3447.743,3375.254,3344.877,3473.578,3605.574,3645.235,3831.051,3953.645,4103.883,4227.0,4463.712,4785.099,4990.859,5285.319,5374.35,5555.62,5686.74,5779.561,5988.556,6157.618,6366.419,6544.679,6793.376,7044.731,7270.163,7364.675,7467.78,7527.523,7116.439,7341.564,7529.254,2.0,2.0,2.0,2019.0,"Gross domestic product, constant prices"
612,8.975,10.286,10.964,11.823,12.569,13.88,15.824,16.751,17.746,19.373,21.17,26.652,35.101,42.297,54.563,70.823,84.067,88.859,93.258,95.682,95.969,100.0,101.43,105.75,109.95,111.47,114.05,118.24,123.98,131.1,136.23,142.36,155.053,160.1,164.77,172.653,183.699,193.97,202.253,206.2,213.417,221.527,231.496,243.533,257.902,275.955,2019.0,"Inflation, average consumer prices"
614,3248.269,3023.625,2945.697,2991.109,3088.912,2837.13,2838.313,2880.579,2976.506,2898.257,2725.509,2965.871,3207.824,3456.016,3708.026,3973.117,4289.72,4467.734,4541.09,4505.003,4507.392,4560.168,5032.375,5031.877,5420.408,6053.434,6555.791,7256.569,7831.882,7669.053,7807.484,7843.261,8265.285,8422.132,8571.165,8399.104,7937.847,7681.958,7363.118,7084.321,6602.074,6616.756,6615.727,2.0,2.0,2.0,2017.0,"Gross domestic product per capita, constant prices"
614,12.557500000000001,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,175.72,495.793,1837.874,971.954,3783.921,1650.825,149.621,134.809,329.001,268.35,116.068,105.59,76.56,31.013,18.53,12.207,11.776,13.17,13.987,15.322,11.376,9.042,7.687,7.498,12.091,41.125,23.667,18.604,16.893,22.206,19.589,10.0,8.0,6.0,6.0,2019.0,"Inflation, end of period consumer prices"
614,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.304,2.189,0.792,-2.808,-0.129,0.98,1.656,1.77,1.877,2018.0,General government net lending/borrowing
311,5184.729,5878.174,6611.135,7433.0,8642.61,10162.801,12467.522,14729.247,17677.63,19637.7,20583.213,21404.441,21827.937,22879.848,24562.554,23423.108,25019.517,26131.411,27201.873,27943.664,29649.715,28119.537,28301.414,29409.475,31269.566,34387.842,38507.668,43180.383,44577.207,39454.831,36624.634,35897.484,37289.918,36158.998,37670.372,39681.613,42001.225,42269.109,45524.577,46427.74,38228.141,39819.168,44196.005,2.0,2.0,2.0,2011.0,"Gross domestic product per capita, current prices"
311,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,General government net debt
311,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,98.071,99.075,95.479,90.147,89.655,98.323,91.673,87.022,102.609,104.603,104.653,117.914,126.264,125.187,120.147,92.684,89.151,77.864,76.081,100.967,89.742,91.803,87.494,95.791,104.575,100.293,87.628,92.322,90.718,84.468,113.687,112.659,102.007,92.089,86.103,80.34,2019.0,General government gross debt
911,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,0.029,0.451,20.546,53.095,63.918,75.206,84.058,84.209,83.089,86.54,87.341,91.315,97.073,100.0,104.62,109.048,115.528,118.482,127.687,133.154,140.358,144.927,148.264,149.985,150.396,153.605,157.849,160.185,161.816,165.608,170.49,176.246,183.303,191.23,2019.0,"Gross domestic product, deflator"
911,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,General government net debt
911,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,269.654,374.042,431.731,386.987,408.28,447.452,521.113,536.388,504.573,459.054,429.848,448.757,522.097,1072.496,1168.061,1348.817,1518.881,1655.092,1900.626,2225.906,2631.39,2988.38,3082.681,3280.926,3849.18,4149.215,4400.247,2.0,2.0,2.0,2019.0,General government gross debt
314,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,34898.924,33968.005,34970.108,34758.467,34759.371,37014.332,35430.554,34183.664,34464.741,36404.781,35907.046,35638.194,36093.051,35873.348,31592.278,30460.756,31241.314,30289.912,31014.917,30877.3,30344.504,30179.685,30683.103,30838.644,30867.89,24679.984,26794.463,27896.158,2.0,2.0,2.0,2017.0,"Gross domestic product per capita, constant prices"
314,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,General government structural balance
314,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,55.095,54.771,51.068,41.039,39.288,38.613,43.776,47.582,41.309,43.05,45.654,46.37,45.62,41.743,49.856,56.104,63.887,67.62,74.045,81.586,81.326,84.371,86.741,83.412,81.286,127.142,120.295,117.528,117.821,117.283,115.729,2019.0,General government gross debt
314,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,-0.435,0.207,0.309,-0.34,-0.165,0.278,0.104,0.31,0.256,-0.001,0.172,-0.463,-0.267,0.088,-0.333,-0.134,0.115,0.136,0.03,-0.021,0.06,-0.475,-0.441,-0.328,-0.191,-0.184,-0.171,2019.0,Current account balance
122,3.235,3.247,3.209,3.173,3.184,3.201,3.225,3.231,3.26,3.32,3.397,3.477,3.545,3.544,3.562,3.559,3.535,3.545,3.57,3.605,3.635,3.652,3.66,3.695,3.711,3.747,3.826,3.924,3.994,3.982,4.017,4.053,4.085,4.105,4.113,4.148,4.22,4.26,4.319,4.379,4.36,4.411,21.678,2.0,2.0,2.0,2019.0,Employment
122,-3.865,-3.042,0.703,0.276,-0.178,-0.158,0.204,-0.263,-0.242,0.248,1.166,0.061,-0.753,-1.013,-2.992,-6.9,-6.736,-5.424,-4.048,-4.917,-1.393,-1.573,4.504,4.06,6.255,7.143,11.08,14.8,19.397,10.42,11.207,7.038,6.074,8.359,10.952,6.591,10.78,6.489,10.615,11.71,10.578,12.25,11.79,12.919,12.992,12.695,2019.0,Current account balance
912,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,1350.0,1792.14,84.595,6.677,0.389,-7.593,-0.467,2.202,1.78,3.155,3.529,10.455,5.35,11.328,19.561,15.481,0.699,7.95,5.611,-0.277,3.718,-0.107,6.946,15.535,7.932,1.598,2.7,3.0,3.1,3.2,3.2,3.2,3.2,2018.0,"Inflation, end of period consumer prices"
313,2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.568,11.112,11.711,11.929,12.491,13.022,13.579,11.56,12.275,13.228,14.042,14.647,15.16,2018.0,"Gross domestic product, current prices"
419,3841.486,4159.084,4219.359,4180.24,4197.452,3828.57,2893.622,3026.561,3610.649,3635.184,3827.542,3854.889,3961.845,4245.142,4428.179,4565.802,4624.292,4670.715,4348.805,4591.043,5344.682,5224.273,5076.583,5446.759,6002.456,6755.3,7244.605,7861.535,8736.757,7318.95,7831.222,9054.242,9563.353,9762.957,9549.766,8519.925,8513.12,9184.772,9557.733,9775.091,8601.975,8915.103,9167.876,2.0,2.0,2.0,2019.0,"Gross domestic product per capita, current prices"
419,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,General government structural balance
513,1311.168,1347.445,1353.961,1379.318,1399.298,1413.453,1430.873,1433.945,1430.006,1453.806,1483.808,1510.332,1547.701,1579.959,1616.489,1658.271,1705.394,1759.28,1811.294,1872.923,1941.697,2000.103,2062.156,2147.111,2245.208,2355.021,2486.249,2619.589,2735.807,2851.668,2991.169,3149.214,3306.69,3463.815,3644.76,3854.199,4089.4,4354.429,4655.146,5005.133,4861.454,5324.389,5628.018,2.0,2.0,2.0,2013.0,"Gross domestic product per capita, constant prices"
316,12.557500000000001,11.68,10.611,10.623,12.1875,11.111,12.311,13.372499999999999,13.014,13.788,14.457,14.266,13.918,14.645,15.581,16.391,14.991,16.073,15.253,15.557,16.9265,16.338,16.378,17.65,18.962,18.581,19.433,20.558,20.065,17.222,19.8525,20.74,20.214,19.512,19.706,19.218,19.175,20.5095,21.0465,21.007,19.26,21.4,21.678,2.0,2.0,2.0,2019.0,Six-month London interbank offered rate (LIBOR)
